stim,id,age,AUC_sal,AUC_dist
2,6,7823,0.64032,0.79411
3,6,7823,0.60472,0.59565
4,6,7823,0.64227,0.59861
6,6,7823,0.56013,0.62316
7,6,7823,0.61914,0.5031
2,7,8133,0.62346,0.63209
3,7,8133,0.52257,0.5529
4,7,8133,0.55195,0.5577
6,7,8133,0.59106,0.66709
7,7,8133,0.56098,0.56147
2,9,7142,0.60596,0.78926
3,9,7142,0.57212,0.63599
4,9,7142,0.54916,0.55142
6,9,7142,0.5852,0.61996
7,9,7142,0.54693,0.44795
2,10,9563,NaN,NaN
3,10,9563,NaN,NaN
4,10,9563,NaN,NaN
6,10,9563,NaN,NaN
7,10,9563,NaN,NaN
2,11,6824,0.67429,0.74502
3,11,6824,0.57394,0.6169
4,11,6824,0.63599,0.59383
6,11,6824,0.57593,0.62425
7,11,6824,0.59656,0.56964
2,12,6624,0.6132,0.72725
3,12,6624,0.58338,0.62947
4,12,6624,0.56033,0.55243
6,12,6624,0.57084,0.66108
7,12,6624,0.58904,0.56853
2,13,7657,0.60514,0.82377
3,13,7657,0.56607,0.68586
4,13,7657,0.58295,0.56134
6,13,7657,0.61754,0.68256
7,13,7657,0.5919,0.57708
2,14,6669,0.61155,0.78254
3,14,6669,0.60218,0.68015
4,14,6669,0.66191,0.60871
6,14,6669,0.59688,0.62512
7,14,6669,0.56583,0.5429
2,15,6691,0.60846,0.81758
3,15,6691,0.59776,0.61839
4,15,6691,0.57301,0.55188
6,15,6691,0.54142,0.53111
7,15,6691,0.54229,0.52939
2,16,6627,NaN,NaN
3,16,6627,NaN,NaN
4,16,6627,NaN,NaN
6,16,6627,NaN,NaN
7,16,6627,NaN,NaN
2,17,7084,0.62496,0.72357
3,17,7084,0.60089,0.53247
4,17,7084,0.5662,0.55871
6,17,7084,0.59333,0.58959
7,17,7084,0.57794,0.5717
2,18,6858,0.60142,0.73682
3,18,6858,0.54597,0.67221
4,18,6858,0.44292,0.35825
6,18,6858,0.56394,0.64063
7,18,6858,0.64937,0.58282
2,19,6957,0.6276,0.68839
3,19,6957,0.62487,0.68675
4,19,6957,0.66186,0.6836
6,19,6957,0.58303,0.57712
7,19,6957,0.60557,0.62049
2,20,8100,0.56833,0.58836
3,20,8100,0.59701,0.54541
4,20,8100,0.70479,0.74743
6,20,8100,0.49438,0.54979
7,20,8100,0.56466,0.52408
2,21,7960,0.59775,0.67616
3,21,7960,0.58215,0.62222
4,21,7960,0.51197,0.40271
6,21,7960,0.51027,0.4653
7,21,7960,0.52636,0.4874
2,22,6657,0.57731,0.65671
3,22,6657,0.54378,0.55858
4,22,6657,0.61776,0.53861
6,22,6657,0.52074,0.50734
7,22,6657,0.65874,0.52751
2,23,7402,0.5976,0.70923
3,23,7402,0.56272,0.60285
4,23,7402,0.53464,0.57832
6,23,7402,0.51353,0.57867
7,23,7402,0.60124,0.55262
2,24,6951,0.56725,0.55234
3,24,6951,0.57046,0.61536
4,24,6951,0.60357,0.61152
6,24,6951,0.63347,0.59712
7,24,6951,0.65072,0.63133
2,25,3082,0.608,0.66447
3,25,3082,0.55944,0.63858
4,25,3082,0.55912,0.51942
6,25,3082,0.54021,0.57068
7,25,3082,0.58512,0.5679
2,26,2049,0.60325,0.65031
3,26,2049,0.59609,0.67548
4,26,2049,0.53242,0.49684
6,26,2049,0.53843,0.54504
7,26,2049,0.54726,0.54643
2,27,3313,0.53278,0.59851
3,27,3313,0.56374,0.63786
4,27,3313,0.61146,0.58212
6,27,3313,0.59829,0.65576
7,27,3313,0.603,0.62032
2,28,1676,0.61806,0.71813
3,28,1676,0.54392,0.60526
4,28,1676,NaN,NaN
6,28,1676,0.59239,0.54859
7,28,1676,0.56522,0.50892
2,29,3345,0.62171,0.76617
3,29,3345,0.5718,0.64049
4,29,3345,0.49908,0.46844
6,29,3345,0.51397,0.52459
7,29,3345,0.54908,0.50482
2,30,3708,0.61031,0.57726
3,30,3708,0.5695,0.6334
4,30,3708,0.5601,0.53044
6,30,3708,0.58488,0.60753
7,30,3708,0.62213,0.56797
2,31,3325,0.58158,0.52831
3,31,3325,0.57509,0.71325
4,31,3325,0.67763,0.69378
6,31,3325,0.47762,0.42105
7,31,3325,0.59024,0.61578
2,32,660,0.58784,0.62454
3,32,660,0.54334,0.64053
4,32,660,0.70989,0.7757
6,32,660,0.56895,0.65577
7,32,660,NaN,NaN
2,33,1439,0.55917,0.62217
3,33,1439,0.55399,0.53542
4,33,1439,0.67694,0.55764
6,33,1439,0.55023,0.53499
7,33,1439,0.58545,0.51604
2,34,1439,0.57115,0.61467
3,34,1439,0.61331,0.58349
4,34,1439,0.49305,0.51777
6,34,1439,0.56821,0.60971
7,34,1439,0.52692,0.4012
2,35,3846,0.60295,0.75236
3,35,3846,0.55334,0.6494
4,35,3846,0.63499,0.59022
6,35,3846,0.57058,0.6132
7,35,3846,0.62446,0.56564
2,36,3212,0.62454,0.68655
3,36,3212,0.55049,0.68913
4,36,3212,0.51343,0.45896
6,36,3212,0.53388,0.5215
7,36,3212,0.61409,0.5769
2,37,180,0.59957,0.62031
3,37,180,0.58893,0.64556
4,37,180,0.67927,0.82317
6,37,180,0.59959,0.60541
